,Year-Rank,Movie,Year,Imdb,Metascore,Votes,Genre,Runtime,Cert,Gross,Director,Stars,n_imdb
0,1,Star Wars: Episode V - The Empire Strikes Back,1980,8.8,82,1005926.0,"
Action, Adventure, Fantasy            ",124 min,PG,290475067.0,Irvin Kershner,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Billy Dee Williams']",88.0
1,2,The Shining,1980,8.4,63,740145.0,"
Drama, Horror            ",146 min,A,44017374.0,Stanley Kubrick,"['Jack Nicholson', 'Shelley Duvall', 'Danny Lloyd', 'Scatman Crothers']",84.0
2,3,The Elephant Man,1980,8.2,77,192959.0,"
Biography, Drama            ",124 min,-,192959.0,David Lynch,"['Anthony Hopkins', 'John Hurt', 'Anne Bancroft', 'John Gielgud']",82.0
3,4,Raging Bull,1980,8.2,89,276620.0,"
Biography, Drama, Sport            ",129 min,-,23383987.0,Martin Scorsese,"['Robert De Niro', 'Cathy Moriarty', 'Joe Pesci', 'Frank Vincent']",82.0
4,5,The Blues Brothers,1980,7.9,60,162098.0,"
Adventure, Comedy, Crime            ",133 min,-,57229890.0,John Landis,"['John Belushi', 'Dan Aykroyd', 'Cab Calloway', 'John Candy']",79.0
5,6,Airplane!,1980,7.8,78,183767.0,"
Comedy            ",88 min,-,83400000.0,Jim Abrahams,"['Robert Hays', 'Julie Hagerty', 'Leslie Nielsen', 'Kareem Abdul-Jabbar']",78.0
6,7,Ordinary People,1980,7.8,87,40490.0,"
Drama            ",124 min,-,54800000.0,Robert Redford,"['Donald Sutherland', 'Mary Tyler Moore', 'Judd Hirsch', 'Timothy Hutton']",78.0
7,8,Coal Miner's Daughter,1980,7.5,87,14654.0,"
Biography, Drama, Music            ",124 min,-,67182787.0,Michael Apted,"['Sissy Spacek', 'Tommy Lee Jones', 'Levon Helm', 'Phyllis Boyens-Liptak']",75.0
8,9,Caddyshack,1980,7.3,48,93144.0,"
Comedy, Sport            ",98 min,-,39846344.0,Harold Ramis,"['Chevy Chase', 'Rodney Dangerfield', 'Bill Murray', 'Ted Knight']",73.0
9,10,The Changeling,1980,7.3,70,25189.0,"
Horror            ",107 min,-,25189.0,Peter Medak,"['George C. Scott', 'Trish Van Devere', 'Melvyn Douglas', 'Jean Marsh']",73.0
10,11,Somewhere in Time,1980,7.3,29,23656.0,"
Drama, Fantasy, Romance            ",103 min,-,9709597.0,Jeannot Szwarc,"['Christopher Reeve', 'Jane Seymour', 'Christopher Plummer', 'Teresa Wright']",73.0
11,12,The Gods Must Be Crazy,1980,7.3,73,47910.0,"
Comedy            ",109 min,-,30031783.0,Jamie Uys,"['N!xau', 'Marius Weyers', 'Sandra Prinsloo', 'Louw Verwey']",73.0
12,13,The Big Red One,1980,7.2,77,17014.0,"
Drama, War            ",113 min,R,17014.0,Samuel Fuller,"['Lee Marvin', 'Mark Hamill', 'Robert Carradine', 'Bobby Di Cicco']",72.0
13,14,Dressed to Kill,1980,7.1,74,28957.0,"
Mystery, Thriller            ",105 min,-,31899000.0,Brian De Palma,"['Michael Caine', 'Angie Dickinson', 'Nancy Allen', 'Keith Gordon']",71.0
14,15,Brubaker,1980,7.1,54,13839.0,"
Crime, Drama            ",131 min,R,37121708.0,Stuart Rosenberg,"['Robert Redford', 'Yaphet Kotto', 'Morgan Freeman', 'Jane Alexander']",71.0
15,16,Altered States,1980,6.9,58,28102.0,"
Horror, Sci-Fi, Thriller            ",102 min,-,19853892.0,Ken Russell,"['William Hurt', 'Blair Brown', 'Bob Balaban', 'Charles Haid']",69.0
16,17,The Fog,1980,6.8,52,54190.0,"
Horror, Thriller            ",89 min,-,21378000.0,John Carpenter,"['Adrienne Barbeau', 'Jamie Lee Curtis', 'Janet Leigh', 'John Houseman']",68.0
17,18,Nine to Five,1980,6.8,58,23548.0,"
Comedy            ",109 min,-,103290500.0,Colin Higgins,"['Jane Fonda', 'Lily Tomlin', 'Dolly Parton', 'Dabney Coleman']",68.0
18,19,Superman II,1980,6.8,87,87567.0,"
Action, Adventure, Sci-Fi            ",127 min,-,108185706.0,Richard Lester,"['Gene Hackman', 'Christopher Reeve', 'Margot Kidder', 'Ned Beatty']",68.0
19,20,Heaven's Gate,1980,6.8,57,11672.0,"
Adventure, Drama, Western            ",325 min,-,3484331.0,Michael Cimino,"['Kris Kristofferson', 'Christopher Walken', 'John Hurt', 'Sam Waterston']",68.0
20,21,Stir Crazy,1980,6.8,56,21751.0,"
Comedy, Crime            ",111 min,-,101300000.0,Sidney Poitier,"['Gene Wilder', 'Richard Pryor', 'Georg Stanford Brown', 'JoBeth Williams']",68.0
21,22,Used Cars,1980,6.8,68,11997.0,"
Comedy            ",113 min,-,11997.0,Robert Zemeckis,"['Kurt Russell', 'Jack Warden', 'Gerrit Graham', 'Frank McRae']",68.0
22,23,Fame,1980,6.6,58,18153.0,"
Drama, Music, Musical            ",134 min,-,21.0,Alan Parker,"['Eddie Barth', 'Irene Cara', 'Lee Curreri', 'Laura Dean']",66.0
23,24,Friday the 13th,1980,6.5,22,99830.0,"
Horror, Mystery, Thriller            ",95 min,-,39754601.0,Sean S. Cunningham,"['Betsy Palmer', 'Adrienne King', 'Jeannine Taylor', 'Robbi Morgan']",65.0
24,25,Flash Gordon,1980,6.5,58,43829.0,"
Action, Adventure, Sci-Fi            ",111 min,-,43829.0,Mike Hodges,"['Sam J. Jones', 'Melody Anderson', 'Max von Sydow', 'Topol']",65.0
25,26,Urban Cowboy,1980,6.3,61,11538.0,"
Drama, Romance, Western            ",132 min,-,53300000.0,James Bridges,"['John Travolta', 'Debra Winger', 'Scott Glenn', 'Madolyn Smith Osborne']",63.0
26,27,American Gigolo,1980,6.2,57,18532.0,"
Crime, Drama, Mystery            ",117 min,-,23000000.0,Paul Schrader,"['Richard Gere', 'Lauren Hutton', 'Hector Elizondo', 'Nina van Pallandt']",62.0
27,28,Private Benjamin,1980,6.1,59,20957.0,"
Comedy, War            ",109 min,R,69847348.0,Howard Zieff,"['Goldie Hawn', 'Eileen Brennan', 'Armand Assante', 'Robert Webber']",61.0
28,29,Any Which Way You Can,1980,6.1,51,15200.0,"
Action, Comedy            ",116 min,-,70687344.0,Buddy Van Horn,"['Clint Eastwood', 'Sondra Locke', 'Geoffrey Lewis', 'William Smith']",61.0
29,30,Cheech and Chong's Next Movie,1980,6.1,66,10486.0,"
Comedy, Crime, Sci-Fi            ",99 min,-,41675194.0,Tommy Chong,"['Cheech Marin', 'Tommy Chong', 'Evelyn Guerrero', 'Betty Kennedy']",61.0
30,31,Cannibal Holocaust,1980,5.9,22,44676.0,"
Adventure, Horror            ",95 min,-,44676.0,Ruggero Deodato,"['Robert Kerman', 'Francesca Ciardi', 'Perry Pirkanen', 'Luca Barbareschi']",59.0
31,32,The Blue Lagoon,1980,5.7,31,56702.0,"
Adventure, Drama, Romance            ",104 min,-,58853106.0,Randal Kleiser,"['Brooke Shields', 'Christopher Atkins', 'Leo McKern', 'William Daniels']",57.0
32,33,Prom Night,1980,5.4,45,12456.0,"
Horror, Thriller            ",92 min,-,14796236.0,Paul Lynch,"['Leslie Nielsen', 'Jamie Lee Curtis', 'Casey Stevens', 'Anne-Marie Martin']",54.0
33,34,Popeye,1980,5.2,64,26180.0,"
Adventure, Comedy, Family            ",114 min,-,49823057.0,Robert Altman,"['Robin Williams', 'Shelley Duvall', 'Ray Walston', 'Paul Dooley']",52.0
34,35,Smokey and the Bandit II,1980,5.2,41,12999.0,"
Action, Comedy            ",100 min,-,66132626.0,Hal Needham,"['Burt Reynolds', 'Jackie Gleason', 'Jerry Reed', 'Dom DeLuise']",52.0
35,36,Xanadu,1980,5.1,35,10477.0,"
Fantasy, Musical, Romance            ",96 min,-,22762571.0,Robert Greenwald,"['Olivia Newton-John', 'Gene Kelly', 'Michael Beck', 'James Sloyan']",51.0
36,1,Raiders of the Lost Ark,1981,8.5,85,775428.0,"
Action, Adventure            ",115 min,PG,248159971.0,Steven Spielberg,"['Harrison Ford', 'Karen Allen', 'Paul Freeman', 'John Rhys-Davies']",85.0
37,2,Das Boot,1981,8.4,86,199944.0,"
Adventure, Drama, Thriller            ",149 min,R,11487676.0,Wolfgang Petersen,"['Jürgen Prochnow', 'Herbert Grönemeyer', 'Klaus Wennemann', 'Hubertus Bengsch']",84.0
