 Year-Rank Movie Year Imdb Metascore Votes Genre Runtime Cert Gross Director Stars
0 1 "Star Wars: Episode V - The Empire Strikes Back" (1980) 8.8 82 47680 "
Action, Adventure, Fantasy            " "124 min" PG 290475067.0 "Irvin Kershner" "['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Billy Dee Williams']"
1 2 "The Shining" (1980) 8.4 63 47680 "
Drama, Horror            " "146 min" A 44017374.0 "Stanley Kubrick" "['Jack Nicholson', 'Shelley Duvall', 'Danny Lloyd', 'Scatman Crothers']"
2 3 "The Elephant Man" (1980) 8.2 77 47680 "
Biography, Drama            " "124 min" - 192955.0 "David Lynch" "['Anthony Hopkins', 'John Hurt', 'Anne Bancroft', 'John Gielgud']"
3 4 "Raging Bull" (1980) 8.2 89 47680 "
Biography, Drama, Sport            " "129 min" - 23383987.0 "Martin Scorsese" "['Robert De Niro', 'Cathy Moriarty', 'Joe Pesci', 'Frank Vincent']"
4 5 "The Blues Brothers" (1980) 7.9 60 47680 "
Adventure, Comedy, Crime            " "133 min" - 57229890.0 "John Landis" "['John Belushi', 'Dan Aykroyd', 'Cab Calloway', 'John Candy']"
5 6 Airplane! (1980) 7.8 78 47680 "
Comedy            " "88 min" - 83400000.0 "Jim Abrahams" "['Robert Hays', 'Julie Hagerty', 'Leslie Nielsen', 'Kareem Abdul-Jabbar']"
6 7 "Ordinary People" (1980) 7.8 87 47680 "
Drama            " "124 min" - 54800000.0 "Robert Redford" "['Donald Sutherland', 'Mary Tyler Moore', 'Judd Hirsch', 'Timothy Hutton']"
7 8 "Coal Miner's Daughter" (1980) 7.5 87 47680 "
Biography, Drama, Music            " "124 min" - 67182787.0 "Michael Apted" "['Sissy Spacek', 'Tommy Lee Jones', 'Levon Helm', 'Phyllis Boyens-Liptak']"
8 9 Caddyshack (1980) 7.3 48 47680 "
Comedy, Sport            " "98 min" - 39846344.0 "Harold Ramis" "['Chevy Chase', 'Rodney Dangerfield', 'Bill Murray', 'Ted Knight']"
9 10 "The Changeling" (1980) 7.3 70 47680 "
Horror            " "107 min" - 25188.0 "Peter Medak" "['George C. Scott', 'Trish Van Devere', 'Melvyn Douglas', 'Jean Marsh']"
10 11 "Somewhere in Time" (1980) 7.3 29 47680 "
Drama, Fantasy, Romance            " "103 min" - 9709597.0 "Jeannot Szwarc" "['Christopher Reeve', 'Jane Seymour', 'Christopher Plummer', 'Teresa Wright']"
11 12 "The Gods Must Be Crazy" (1980) 7.3 73 47680 "
Comedy            " "109 min" - 30031783.0 "Jamie Uys" "['N!xau', 'Marius Weyers', 'Sandra Prinsloo', 'Louw Verwey']"
12 13 "The Big Red One" (1980) 7.2 77 47680 "
Drama, War            " "113 min" R 17014.0 "Samuel Fuller" "['Lee Marvin', 'Mark Hamill', 'Robert Carradine', 'Bobby Di Cicco']"
13 14 "Dressed to Kill" (1980) 7.1 74 47680 "
Mystery, Thriller            " "105 min" - 31899000.0 "Brian De Palma" "['Michael Caine', 'Angie Dickinson', 'Nancy Allen', 'Keith Gordon']"
14 15 Brubaker (1980) 7.1 54 47680 "
Crime, Drama            " "131 min" R 37121708.0 "Stuart Rosenberg" "['Robert Redford', 'Yaphet Kotto', 'Morgan Freeman', 'Jane Alexander']"
15 16 "Altered States" (1980) 6.9 58 47680 "
Horror, Sci-Fi, Thriller            " "102 min" - 19853892.0 "Ken Russell" "['William Hurt', 'Blair Brown', 'Bob Balaban', 'Charles Haid']"
16 17 "Stir Crazy" (1980) 6.8 56 47680 "
Comedy, Crime            " "111 min" - 101300000.0 "Sidney Poitier" "['Gene Wilder', 'Richard Pryor', 'Georg Stanford Brown', 'JoBeth Williams']"
17 18 "The Fog" (1980) 6.8 52 47680 "
Horror, Thriller            " "89 min" - 21378000.0 "John Carpenter" "['Adrienne Barbeau', 'Jamie Lee Curtis', 'Janet Leigh', 'John Houseman']"
18 19 "Nine to Five" (1980) 6.8 58 47680 "
Comedy            " "109 min" - 103290500.0 "Colin Higgins" "['Jane Fonda', 'Lily Tomlin', 'Dolly Parton', 'Dabney Coleman']"
19 20 "Superman II" (1980) 6.8 87 47680 "
Action, Adventure, Sci-Fi            " "127 min" - 108185706.0 "Richard Lester" "['Gene Hackman', 'Christopher Reeve', 'Margot Kidder', 'Ned Beatty']"
20 21 "Heaven's Gate" (1980) 6.8 57 47680 "
Adventure, Drama, Western            " "325 min" - 3484331.0 "Michael Cimino" "['Kris Kristofferson', 'Christopher Walken', 'John Hurt', 'Sam Waterston']"
21 22 "Used Cars" (1980) 6.8 68 47680 "
Comedy            " "113 min" - 11997.0 "Robert Zemeckis" "['Kurt Russell', 'Jack Warden', 'Gerrit Graham', 'Frank McRae']"
22 23 Fame (1980) 6.6 58 47680 "
Drama, Music, Musical            " "134 min" - 21.0 "Alan Parker" "['Eddie Barth', 'Irene Cara', 'Lee Curreri', 'Laura Dean']"
23 24 "Friday the 13th" (1980) 6.5 22 47680 "
Horror, Mystery, Thriller            " "95 min" - 39754601.0 "Sean S. Cunningham" "['Betsy Palmer', 'Adrienne King', 'Jeannine Taylor', 'Robbi Morgan']"
24 25 "Flash Gordon" (1980) 6.5 58 47680 "
Action, Adventure, Sci-Fi            " "111 min" - 43828.0 "Mike Hodges" "['Sam J. Jones', 'Melody Anderson', 'Max von Sydow', 'Topol']"
25 26 "Urban Cowboy" (1980) 6.3 61 47680 "
Drama, Romance, Western            " "132 min" - 53300000.0 "James Bridges" "['John Travolta', 'Debra Winger', 'Scott Glenn', 'Madolyn Smith Osborne']"
26 27 "American Gigolo" (1980) 6.2 57 47680 "
Crime, Drama, Mystery            " "117 min" - 23000000.0 "Paul Schrader" "['Richard Gere', 'Lauren Hutton', 'Hector Elizondo', 'Nina van Pallandt']"
27 28 "Private Benjamin" (1980) 6.1 59 47680 "
Comedy, War            " "109 min" R 69847348.0 "Howard Zieff" "['Goldie Hawn', 'Eileen Brennan', 'Armand Assante', 'Robert Webber']"
28 29 "Any Which Way You Can" (1980) 6.1 51 47680 "
Action, Comedy            " "116 min" - 70687344.0 "Buddy Van Horn" "['Clint Eastwood', 'Sondra Locke', 'Geoffrey Lewis', 'William Smith']"
29 30 "Cheech and Chong's Next Movie" (1980) 6.1 66 47680 "
